timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559816898312,552,HTTP Request,200,OK,Thread Group 1-14,text,true,,169,127,3,3,http://localhost:8080/test/charger,552,0,0
1559816898537,532,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,2,2,http://localhost:8080/test/charger,532,0,0
1559816898543,573,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,2,2,http://localhost:8080/test/charger,573,0,1
1559816899069,587,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,2,2,http://localhost:8080/test/charger,587,0,1
1559816899116,551,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,2,2,http://localhost:8080/test/charger,551,0,1
1559816899667,498,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,3,3,http://localhost:8080/test/charger,498,0,1
1559816899656,582,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,3,3,http://localhost:8080/test/charger,582,0,1
1559816899997,525,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,3,3,http://localhost:8080/test/charger,525,0,0
1559816900165,570,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,3,3,http://localhost:8080/test/charger,570,0,1
1559816900238,587,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,3,3,http://localhost:8080/test/charger,587,0,1
1559816900522,544,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,3,3,http://localhost:8080/test/charger,544,0,0
1559816900735,534,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,3,3,http://localhost:8080/test/charger,534,0,1
1559816900825,519,HTTP Request,200,OK,Thread Group 1-15,text,true,,169,127,3,3,http://localhost:8080/test/charger,519,0,1
1559816901066,463,HTTP Request,200,OK,Thread Group 1-17,text,true,,169,127,2,2,http://localhost:8080/test/charger,463,0,1
1559816901269,567,HTTP Request,200,OK,Thread Group 1-16,text,true,,169,127,2,2,http://localhost:8080/test/charger,567,0,1
